VIAF	Name	Last	First	Title	Born	Dead	Wikipedia	Portrait	Profession	Gender	SocialStatus	Nationality	RelatedWithID	Type	Roles	Source
95204821	Quétant, Antoine-François	Quétant	Antoine-François		1733	1823			Author	male		French				
96583693	Marie Antoinette	Marie Antoinette	Maria Antonia Josepha Johanna	queen of France and Navarre	1755	1793	http://fr.wikipedia.org/wiki/Marie-Antoinette_d%27Autriche	https://upload.wikimedia.org/wikipedia/commons/7/7d/Marie_Antoinette_by_Joseph_Ducreux.jpg		female	aristocrat	French				
96583780	Artois, comte d’ 	Bourbon	Charles Philippe	Comte d'Artois, Charles X, King of France and of Navarre; brother of Louis XVI	1757	1836	http://fr.wikipedia.org/wiki/Charles_X	http://upload.wikimedia.org/wikipedia/commons/b/b1/Charles_X_of_France_1.PNG		male	aristocrat	French				Capon, 1902, p. 31.
98154877	Comtesse de Rochefort, Marie-Thérèse	Rochefort	Marie-Thérèse de Brancas	comtesse de Rochefort	1716	1782			Theater hostess: amateur actress	female	aristocrat	French			ingénues	MEPD 49
9873492	Philippe Néricault Destouches	Destouches	Philippe Néricault		1680	1754	http://en.wikipedia.org/wiki/Philippe_N%C3%A9ricault_Destouches		actor, playwright, diplomat, academy member	male		French				
99483029	Chastellux, Jean-François, chevalier de	Chastellux	Jean-François	marquis de Chastellux	1734	1788	http://fr.wikipedia.org/wiki/Fran%C3%A7ois_Jean_de_Chastellux	http://upload.wikimedia.org/wikipedia/commons/6/6b/Fran%C3%A7ois_Jean_de_Chastellux.jpg	Author	male	aristocrat	French				
9979313	Duc de Nivernois	Nivernois	Louis-Jules Mancini-Mazarini de	duc de Nivernois, duc de Nevers	1716	1798	http://en.wikipedia.org/wiki/Louis_Jules_Mancini_Mazarini	http://upload.wikimedia.org/wikipedia/commons/b/b5/Portrait_de_Louis-Jules_Mancini-Mazarini%2C_duc_de_Nivernais_%281716-1798%29.jpg	Author	male	aristocrat	French	Mme de Rochefort	author	amoureux/petits maîtres	Clarétie 19
zz001	Dangeville, Mlle 	Dangeville	Marie-Anne Botot		1714	1796	http://fr.wikipedia.org/wiki/Marie-Anne_Botot_Dangeville	https://upload.wikimedia.org/wikipedia/commons/4/4e/Marie_Anne_Botot_Dangeville_by_Maurice_Quentin_de_La_Tour.jpg		female		French				
zz002	Gramont, duc de	Gramont	Antoine VII de	comte de Lescun, puis de Lesparre puis duc de Lesparre (1739), duc de Gramont,Pair de France	1745	1801				male	aristocrat	French				
zz003	Lenormant, Charles 	Lenormant d'Étioles	Charles-Guillaume-Borromée		1717	1799	http://fr.wikipedia.org/wiki/Charles-Guillaume_Lenormant_d%27%C3%89tioles		finacier	male		French				
zz004	Magnanville, Monsieur de  	Magnanville	Charles-Pierre Savalette de 	garde du Trésor royal	1713	1797	http://fr.wikipedia.org/wiki/Charles_Savalette			male	aristocrat	French				
zz005	Mauconseil/Monconseil, Mme 	Mauconseil		marquise de Mauconseil						female	aristocrat	French				Clarétie, p. 26; voir aussi Dinaux, I, p. 66-70
zz006	Mazarin, duchesse de	Durfort	Louise Jeanne de	duchesse de Mazarin et de La Meilleraye	1735	1781				female		French				Clarétie, 18
